set_code,name,population,index_value,eco_level
528,??????,3047,-1.679,1
539,??????,1129,-1.566,2
997,???? ????,1882,-1.237,2
993,????,1410,-0.738,3
1346,????? ?-???? (?????),437,-3.103,1
1360,?????,295,-2.856,1
1358,??? ????,3080,-2.508,1
1359,?? ????,3384,-2.288,1
1343,?????,395,-2.205,1
1367,????,145,-1.366,2
1349,????'??,1065,-1.191,2
360,"???? ???""?",733,0.859,7
679,?????,817,1.226,8
773,?????,707,1.297,8
1366,????,1066,-1.617,1
1085, **??? ????,119,-1.228,2
1363,??? ?????,544,-0.838,3
399,????,984,-0.488,3
1364,??????,201,-0.465,3
413,?????,441,-0.296,4
403,?????,470,-0.232,4
713,????,403,-0.002,5
695,???,551,0.038,5
676,??? ??????,300,0.085,5
69,??? ???,395,0.188,6
840,???????,235,0.233,6
402,??? ????,628,0.274,6
1311,??????,258,0.301,6
1239,?????,147,0.354,6
1136,????,419,0.496,6
352,??????,299,0.681,7
1231,??? ??,226,0.761,7
602,?????,357,0.809,7
1241,???,311,0.822,7
829,??????,406,0.852,7
1223,??? ?????,341,0.897,7
1232,????,350,0.997,8
1046,????,404,1.055,8
1227,???,326,1.055,8
1238,????,234,1.091,8
1051,???? ?????,303,1.15,8
318,??????,196,1.226,8
1240,??? ?????,1127,1.306,8
1237,???? ????,304,1.315,8
916,???,368,1.385,8
1058,??? ????,318,1.631,9
2006,????,355,-2.378,1
739,??? ??????,1465,-0.113,5
2011,????,1116,0.275,6
817,??????,1377,0.423,6
763,??????,1975,0.431,6
793,?????,955,0.478,6
756,??? ????,1090,0.742,7
700,???,1404,0.742,7
406,????-?????,545,0.923,7
727,???? ?????,978,1.034,8
772,??????,934,1.073,8
1157,?????,159,1.085,8
1149,???,837,1.093,8
320,??? ??????,1130,1.176,8
690,??? ????,795,1.262,8
2012,?????,498,1.27,8
827,???? ????,642,1.285,8
819,???????,763,1.316,8
553,??? ????,705,1.344,8
155,??? ?????,1030,1.344,8
593,??????,1124,1.395,8
234,??????,1221,1.584,8
163,???????,775,1.59,8
512,??? ???,2595,-1.08,2
475,???,636,-0.956,2
523,????,1766,-0.886,2
526,????,2467,-0.854,3
1265,???????,623,-0.811,3
397,?????,786,-0.279,4
2060,????,439,0.541,7
2061,????,534,0.615,7
1198,?????,391,0.617,7
396,?????,825,0.621,7
394,????,640,0.645,7
2023,???,469,0.76,7
2062,?????,411,0.906,7
395,???? ????,868,1.011,8
849,?????,797,1.036,8
1344,????? ??,815,1.326,8
598,??? ???,1286,1.48,8
144,?? ????,518,0.853,7
147,???? ????,2603,1.214,8
562,??? ??????,1494,1.218,8
615,?????,1560,1.57,8
685,????,792,1.682,9
196,??????,327,1.696,9
1072,?? ?????,563,1.258,8
555,????,604,1.377,8
765,???? ??,666,1.6,8
857,??? ????,804,1.65,9
731,????,804,1.739,9
591,????,970,1.771,9
764,??? ?????,655,1.853,9
4005,?????,1739,-0.791,3
4006,???,763,-0.633,3
4014,????,567,-0.567,3
4017,????? ????,368,-0.519,3
4304,???,858,-0.345,4
4019,????,211,-0.242,4
4007,?????,601,-0.127,5
4701,??? ???????,637,0.114,5
4011,???? ????,633,0.116,5
4013,?????,321,0.157,6
4024,???,224,0.234,6
4003,??-???,338,0.419,6
4015,??? ?????,1040,0.438,6
4004,??? ????,357,0.536,7
4503,??? ?????,280,0.55,7
4012,?????,503,0.589,7
4026,??-??,827,0.696,7
4101,???? ????,675,0.741,7
4204,???? ???,344,0.755,7
4002,???-??,350,0.814,7
4021,???? ????,662,0.832,7
4551,???? ????,534,0.833,7
4022,????,264,0.908,7
4301,????,277,0.931,7
4009,???,256,1.072,8
4028,???,419,1.112,8
4025,???? ???,359,1.208,8
4702,????,489,1.235,8
4303,"???? ???""?",124,1.376,8
4008,???? ????,441,1.545,8
3653,???? ????,384,-1.103,2
3794,?? ???,1226,-1.011,2
3754,????,583,-0.902,2
3488,??? ?????,1071,-0.736,3
3561,???? ???,439,-0.642,3
3766,???? ???,1036,-0.167,5
3563,????,3495,-0.031,5
3726,??????,1937,0.065,5
3602,??? ?????,915,0.19,6
3604,???? ????,3201,0.205,6
3618,?????,2577,0.342,6
3725,???? ?????,2275,0.515,7
3781,???,1490,0.549,7
3603,?? ????,1505,0.864,7
856,??????,1764,-0.736,3
711,?????,1193,0.396,6
759,????,770,0.431,6
838,????,806,0.519,7
158,???,1532,0.59,7
370,???,273,0.645,7
839,?????,890,0.669,7
757,?????,1302,0.722,7
64,"?? ???""?",1044,0.723,7
828,????,922,0.903,7
301,??? ??????,599,0.952,7
1333,??? ??????,2129,0.99,8
435,??? ????,718,1.065,8
862,??? ?????,618,1.129,8
1050,??? ???????,2171,1.444,8
670,???? ??????,514,1.533,8
735,???? ????,770,1.536,8
743,??? ?????,864,1.662,9
610,??????,1022,1.665,9
2010,??? ?? ???,647,1.685,9
160,?????,913,1.752,9
177,"??? ???""?",1254,1.793,9
563,???? ???,700,1.874,9
1103,??? ???,278,1.951,9
1264,???? ????,1674,2.306,9
156,??????,340,-1.624,1
597,??????,604,1.245,8
159,??? ???,573,1.443,8
311,?? ????,677,1.476,8
853,?????,992,1.506,8
582,??? ?????,1223,1.706,9
174,?????,593,1.856,9
202,??? ????,309,1.914,9
1336,?????,211,2.269,9
718,?????,956,0.555,7
841,??????,1212,0.597,7
184,??? ?????,1049,0.624,7
686,???? ????,1162,0.812,7
705,???????,332,0.826,7
716,????,482,0.955,7
808,??? ?????,505,0.961,7
355,??????,311,1.057,8
870,???? ??????,783,1.162,8
871,????,786,1.282,8
1148,??? ???,296,1.344,8
128,?? ?????,300,1.39,8
717,????,1135,1.424,8
2015,??? ???,1021,1.471,8
249,??? ??????,1333,1.473,8
1345,??? ????,4246,1.482,8
1315,???,3613,1.501,8
230,???,838,1.591,8
98,"??? ??""?",328,1.666,9
858,???? ???,1353,1.684,9
206,???? ?????,1651,1.689,9
284,??? ??????,1483,1.746,9
218,??? ??,240,1.756,9
207,"???? ?""?",362,1.759,9
198,?????,1302,1.805,9
2035,?????,479,1.815,9
239,?? ????,816,1.828,9
722,???????,1064,1.829,9
183,??????,399,1.995,9
1236,?????,1169,2.213,9
547,???? (??????),1513,-1.201,2
635,????????,3719,-1.052,2
497,????? (????),1751,-1.036,2
524,??????,2131,-0.892,2
86,???,625,-0.616,3
95,??? ????,853,-0.552,3
636,?????,1572,-0.5,3
452,??????,566,-0.368,4
89,??? ???? (?????),529,-0.349,4
145,????,399,-0.251,4
113,??????,267,0.011,5
1110,???,429,0.234,6
82,??? ???? (?????),735,0.249,6
1155,??? ????,614,0.253,6
2052,?????,499,0.319,6
164,????,390,0.333,6
84,?? ????,533,0.399,6
90,????-??,519,0.403,6
1108,????,327,0.436,6
2053,?????,320,0.526,7
442,??????,411,0.528,7
2054,????,461,0.622,7
165,??? ???,678,0.635,7
141,???,422,0.661,7
242,??? ?????,1202,0.755,7
269,?????,979,0.88,7
1274,?? ??,2643,0.882,7
146,?????,227,0.928,7
1069,??-???,996,1.108,8
339,??? ???,592,1.341,8
85,??? ??????,1051,1.365,8
667,????,579,-0.667,3
77,????? ????,1456,-0.302,4
578,????,398,-0.176,5
623,?????,386,0.031,5
76,??? ?????,644,0.134,5
35,????,406,0.345,6
596,??????,442,0.373,6
443,??? ?????,824,0.407,6
347,????,224,0.435,6
408,???? ?????,534,0.449,6
308,??????,678,0.504,7
345,??? ????,589,0.533,7
378,???? ??,316,0.552,7
852,????,329,0.589,7
253,?????,575,0.589,7
366,????,889,0.602,7
302,????,896,0.629,7
319,????,524,0.655,7
357,??? ????,666,0.663,7
303,??,650,0.674,7
380,????? ????,854,0.676,7
453,????,505,0.754,7
385,?????,421,0.767,7
416,????? ????,735,0.781,7
356,???????,707,0.832,7
329,??? ?????,1097,0.837,7
1211,?????,189,1.011,8
1132,????,544,1.196,8
1322,??????,293,-2.297,1
585,????,640,-1.109,2
307,???????,915,-0.381,4
786,??? ?????,758,-0.188,5
1162,??? ?????,623,0.159,6
365,??? ???,591,0.268,6
49,???????,484,0.558,7
721,??? ????,541,0.691,7
701,????,673,0.95,7
255,??? ?????,666,0.999,8
1190,???? ?????,851,1.033,8
306,????? ?????,656,1.078,8
292,?????,581,1.092,8
388,??? ???,520,1.119,8
1293,???? ????,2082,1.163,8
1258,???,354,1.293,8
58,????,144,1.325,8
1262,?????,289,0.526,7
1176,????,374,0.567,7
806,??? ???,665,0.66,7
13,????,566,0.676,7
1175,????,360,0.936,7
1151,????,435,1.217,8
1150,????,394,1.275,8
3723,??? ???,432,-1.077,2
3724,??????,288,-0.49,3
3748,??????,909,-0.457,3
3657,????,502,-0.413,4
3756,?????,1041,-0.41,4
3719,???,336,-0.4,4
3764,???,535,-0.234,4
3745,????? ?????,467,-0.031,5
3656,????,407,0.013,5
3784,????,538,0.016,5
3759,?????,404,0.091,5
3743,???,756,0.356,6
3777,?????,334,0.458,6
3722,???????,494,0.717,7
890,??? ????? ????,258,-2.403,1
990,??? ???,560,-1.921,1
1321,?'????,458,-1.378,2
652,?????,2689,-1.359,2
882,??????,177,-0.632,3
178,??? ?????,929,-0.362,4
96,????,1508,-0.358,4
237,??? ??????,644,0.334,6
889,??? ?????? ?',256,0.53,7
254,??? ?????,371,0.721,7
112,??? ?????? ?',562,0.785,7
278,????,462,0.873,7
