city_name_h,freq,latitude,longitude,religion,settlement_type,monthly_income_nis,employment_rate,אשכול_פריפריאליות
קצר אסר,0.965812,31.0894,34.9798,ערבים-מוסלמים,כפר בדואי,8073,0.4,2
ערערהבנגב,0.920963,31.164,35.0227,ערבים-מוסלמים,מועצה מקומית בדואית,8793,0.365,2
אבו קרינאת יישוב,0.898844,31.1546,34.9654,ערבים-מוסלמים,כפר בדואי,?,?,2
אל סייד,0.889706,31.283261,34.91302,ערבים-מוסלמים,כפר בדואי,8320,0.405,3
ביר אלמכסור,0.888759,32.780019,35.22228,ערבים-מוסלמים,מועצה מקומית בדואית,8452,0.485,4
אום בטין,0.881303,31.27688,34.88367,ערבים-מוסלמים,כפר בדואי,6836,0.329,3
סעוה,0.869888,31.2677,34.9746,ערבים-מוסלמים,כפר בדואי,?,?,3
ביר הדאג,0.868188,31.026263,34.7031,ערבים-מוסלמים,כפר בדואי,6593,0.258,1
תל שבע,0.813736,31.245649,34.85777,ערבים-מוסלמים,מועצה מקומית בדואית,7885,0.375,3
סלמה,0.771863,32.89365,35.3699,ערבים-מוסלמים,כפר ערבי,8503,0.521,3
מכחול,0.754513,31.288314,35.07539,ערבים-מוסלמים,כפר בדואי,?,?,2
זרזיר,0.741135,32.727428,35.21335,ערבים-מוסלמים,מועצה מקומית בדואית,8396,0.518,4
חמאם,0.721284,32.8355,35.4941,ערבים-מוסלמים,כפר ערבי,?,?,2
כסיפה,0.713607,31.246537,35.09306,ערבים-מוסלמים,מועצה מקומית בדואית,8609,0.396,2
מנשית זבדה,0.707566,32.701872,35.19154,ערבים-מוסלמים,כפר ערבי,?,?,4
שגבשלום,0.701286,31.2102,34.839,ערבים-מוסלמים,מועצה מקומית בדואית,7979,0.416,3
כפר ברא,0.694444,32.131092,34.97033,ערבים-מוסלמים,מועצה מקומית,8967,0.537,7
טובאזנגריה,0.691311,32.9718,35.5923,ערבים-מוסלמים,מועצה מקומית בדואית,8205,0.547,2
לקיה,0.683321,31.324666,34.86612,ערבים-מוסלמים,מועצה מקומית בדואית,8675,0.399,3
כפר קאסם,0.67508,32.11767,34.96725,ערבים-מוסלמים,עיר,8361,0.516,7
שבלי  אום אלגנם,0.674934,32.6908,35.3966,ערבים-מוסלמים,מועצה מקומית בדואית,8696,0.512,3
דריגאת,0.670561,31.3067,35.0776,ערבים-מוסלמים,כפר ערבי,?,?,2
דמיידה,0.668571,32.815462,35.22713,ערבים-מוסלמים,כפר בדואי,?,?,4
בסמת טבעון,0.668193,32.736228,35.15465,ערבים-מוסלמים,מועצה מקומית בדואית,8113,0.53,4
כעביהטבאשחגאגרה,0.667712,32.7567,35.1858,ערבים-מוסלמים,מועצה מקומית,8624,0.531,4
רהט,0.641591,31.3994,34.7542,ערבים-מוסלמים,עיר בדואית,8101,0.448,4
סחנין,0.6181584031,32.8704,35.2987,,,,,
אבטין,0.611041,32.1576,34.9537,ערבים-מוסלמים,מועצה מקומית,7695,0.507,7
גלגוליה,0.608527,31.416667,35.28333,ערבים-מוסלמים,כפר בדואי,?,?,4
חואלד,0.592593,32.7726,35.1672,ערבים-מוסלמים,כפר בדואי,?,?,4
סואעד חמרייה,0.592593,32.7726,35.1672,ערבים-מוסלמים,כפר בדואי,?,?,4
חוסנייה,0.58567,32.907,35.3214,ערבים-מוסלמים,כפר בדואי,?,?,3
כמאנה,0.563567,32.909618,35.34724,ערבים-מוסלמים,כפר בדואי,?,?,3
בועיינהנוגידאת,0.558359,32.8156,35.3695,ערבים-מוסלמים,מועצה מקומית,8110,0.511,3
חורה,0.54823,31.3032,34.9365,ערבים-מוסלמים,מועצה מקומית בדואית,8422,0.392,3
כפר מנדא,0.5362518989,32.8179,35.2603,,,,,
ראס אלעין,0.532995,32.9214,35.3746,ערבים-מוסלמים,כפר ערבי,?,?,3
עילוט,0.4935822637,32.6927785,35.3716044,,,,,
נחף,0.4871732817,32.7772712,35.3725219,,,,,
טמרה,0.4852833265,32.2346856,34.9544553,,,,,
רומת הייב,0.464567,32.7847,35.3032,ערבים-מוסלמים,כפר בדואי,9624,0.478,3
מוקייבלה,0.4505376344,32.8534876,35.1978748,,,,,
דייר אלאסד,0.449951,32.9418,35.2685,ערבים-מוסלמים,מועצה מקומית,10137,0.53,4
כאבול,0.4468780019,32.8677008,35.2100551,,,,,
כאוכב אבו אלהיגא,0.4465826145,32.836,35.2486,,,,,
עוזייר,0.443519,32.79007,35.32718,ערבים-מוסלמים,כפר ערבי,7602,0.468,3
שעב,0.4399185336,32.8963,35.239,,,,,
גת,0.4394904459,32.7449001,35.3437869,,,,,
כחלה,0.4356435644,32.8114088,35.259756,,,,,
כפר כנא,0.4235783634,32.5032833,35.2902515,,,,,
משהד,0.418239,32.7457,35.3234,ערבים-מוסלמים,מועצה מקומית,8008,0.463,5
צנדלה,0.4144144144,32.93495035,35.31380662,,,,,
טורעאן,0.4134048257,32.7824,35.3743,,,,,
דבוריה,0.4081691773,32.7163849,35.2594337,,,,,
טירה,0.4059838895,32.7233235,35.352732,,,,,
בענה,0.405654579,32.520085,35.324175,,,,,
שייח דנון,0.4042769857,32.9943175,35.1479211,,,,,
עין מאהל,0.400701565,32.7287,35.354,,,,,
