city_name_e,city_name_h,freq,latitude,longitude,religion,settlement_type,monthly_income_nis,employment_rate,אשכול_פריפריאליות
QASR A-SIR,קצר אסר,0.965811966,31.0894,34.9798,ערבים-מוסלמים,כפר בדואי,8073,40.00%,2
AR'ARA-BANEGEV,ערערהבנגב,0.920962817,31.164,35.0227,ערבים-מוסלמים,מועצה מקומית בדואית,8793,36.50%,2
ABU QUREINAT,אבו קרינאת יישוב,0.898843931,31.1546,34.9654,ערבים-מוסלמים,כפר בדואי,?,?,2
al-Sayed,אל סייד,0.889705882,31.2832614,34.9130197,ערבים-מוסלמים,כפר בדואי,8320,40.50%,3
BIR EL-MAKSUR,ביר אלמכסור,0.888758507,32.780019,35.222282,ערבים-מוסלמים,מועצה מקומית בדואית,8452,48.50%,4
UMM BATIN,אום בטין,0.881303336,31.2768804,34.88367182,ערבים-מוסלמים,כפר בדואי,6836,32.90%,3
SA'WA (Mulada),סעוה,0.869888476,31.2677,34.9746,ערבים-מוסלמים,כפר בדואי,?,?,3
BIR HADAGE,ביר הדאג,0.868187579,31.0262625,34.7031024,ערבים-מוסלמים,כפר בדואי,6593,25.80%,1
TEL SHEVA,תל שבע,0.813735692,31.2456487,34.8577683,ערבים-מוסלמים,מועצה מקומית בדואית,7885,37.50%,3
"Salama, Jaffa",סלמה,0.771863118,32.8936503,35.3699046,ערבים-מוסלמים,כפר ערבי,8503,52.10%,3
Makhul,מכחול,0.754512635,31.2883138,35.0753893,ערבים-מוסלמים,כפר בדואי,?,?,2
Zarzir,זרזיר,0.741134752,32.7274275,35.2133545,ערבים-מוסלמים,מועצה מקומית בדואית,8396,51.80%,4
Hamaam,חמאם,0.721283784,32.8355,35.4941,ערבים-מוסלמים,כפר ערבי,?,?,2
Kuseife,כסיפה,0.713606994,31.2465374,35.0930574,ערבים-מוסלמים,מועצה מקומית בדואית,8609,39.60%,2
Manshiya Zabda,מנשית זבדה,0.707566462,32.701872,35.191539,ערבים-מוסלמים,כפר ערבי,?,?,4
Shaqib al-Salam,שגבשלום,0.701286476,31.2102,34.839,ערבים-מוסלמים,מועצה מקומית בדואית,7979,41.60%,3
KAFAR BARA,כפר ברא,0.694444444,32.1310918,34.9703305,ערבים-מוסלמים,מועצה מקומית,8967,53.70%,7
Tuba-Zangariyye,טובאזנגריה,0.69131061,32.9718,35.5923,ערבים-מוסלמים,מועצה מקומית בדואית,8205,54.70%,2
Lakiya,לקיה,0.683321087,31.324666,34.8661185,ערבים-מוסלמים,מועצה מקומית בדואית,8675,39.90%,3
Ras Ali,ראס עלי,0.680672269,32.77129465,35.15272102,ערבים-מוסלמים,כפר ערבי,?,?,4
KAFAR QASEM,כפר קאסם,0.675080312,32.1176703,34.9672488,ערבים-מוסלמים,עיר,8361,51.60%,7
Shibli–Umm al-Ghanam,שבלי  אום אלגנם,0.67493357,32.6908,35.3966,ערבים-מוסלמים,מועצה מקומית בדואית,8696,51.20%,3
Drijat,דריגאת,0.670560748,31.3067,35.0776,ערבים-מוסלמים,כפר ערבי,?,?,2
Dmeide,דמיידה,0.668571429,32.8154622,35.2271343,ערבים-מוסלמים,כפר בדואי,?,?,4
Basmat Tab'un,בסמת טבעון,0.668193172,32.7362276,35.1546502,ערבים-מוסלמים,מועצה מקומית בדואית,8113,53.00%,4
